kernel,category,speedup_min,speedup_q25,speedup_median,speedup_q75,speedup_max,exec_time_ms_min,exec_time_ms_q25,exec_time_ms_median,exec_time_ms_q75,exec_time_ms_max
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,conv_2d_nchw_fchw,15.287756505757292,15.621148549688279,15.716735833483362,16.095371046335032,16.419381995093218,1674.403437,1708.110336,1749.260784,1759.964676,1798.3456
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,conv_2d_nchw_fchw,18.21696020136179,18.241512674425095,18.454580254263057,18.915921601356196,19.37155272526888,2431.485457,2490.053074,2552.301276,2582.113094,2585.593217
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,conv_2d_nchw_fchw,15.242946063416124,15.363306484146412,15.616794514457535,15.84747577346076,16.035586662775643,1418.759728,1435.600527,1456.806296,1480.842981,1492.535923
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,conv_2d_nchw_fchw,52.208014514503525,60.26284906821513,61.28214420684006,62.776974600870325,64.79147858994915,111.541141,115.12048,117.928567,119.923229,138.425403
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,conv_2d_nchw_fchw,12.226724664341244,12.298901205195516,12.305448160883879,12.380611962863618,12.677266779879703,2685.056511,2749.393795,2766.187567,2767.660065,2783.998057
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,conv_2d_nchw_fchw,17.8709657699164,18.27423174921834,18.521589598402436,18.805469497326214,19.261468910337342,3062.33831,3136.594604,3184.669104,3227.77641,3300.612564
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,conv_2d_nchw_fchw,17.290927810469192,17.540634736537516,17.713735186453274,18.20097879780771,18.368019747581503,1048.967743,1058.594729,1087.71301,1098.447149,1114.310373
conv_2d_nchw_fchw_256_576_14_14_576_1_1_14_14,conv_2d_nchw_fchw,37.66948566537217,41.548086666151676,42.082706413959855,42.19585536790263,43.428329573922476,535.603869,551.248011,552.730167,559.842419,617.486035
conv_2d_nchw_fchw_256_64_56_56_256_1_1_56_56,conv_2d_nchw_fchw,18.237999188657895,18.52436430778164,18.685100246644566,18.69591026760285,18.794599534122515,1042.318668,1047.820709,1048.426912,1057.524114,1074.128897
conv_2d_nchw_fchw_256_64_56_56_64_3_3_54_54,conv_2d_nchw_fchw,14.963908551727789,14.978681254817397,15.023531583455421,15.048871836446406,15.474575863423878,2225.705358,2288.666339,2292.526642,2299.391103,2301.661113
conv_2d_nchw_fchw_256_64_64_64_16_3_3_62_62,conv_2d_nchw_fchw,15.986940659655636,16.051265511170897,16.09041390569297,16.170432999115313,16.551053376973652,850.419102,870.436305,874.765064,876.898581,880.426859
matmul_256_1024_1024,matmul,216.94572334745817,376.9080861453534,396.11595952593336,427.39268965464424,431.6467649345175,1.551406,1.566848,1.690564,1.776718,3.08676
matmul_256_1280_1024,matmul,225.88875425078785,386.032653265774,388.248310398799,410.3826397180191,449.94441089251944,1.917426,2.10227,2.222122,2.234876,3.819292
matmul_256_128_256,matmul,96.53253542198362,99.49018611907267,106.60995830458066,145.71505240644552,149.0959902134022,0.07357,0.075277,0.102889,0.110252,0.11363
matmul_256_1536_1024,matmul,312.5763930926672,334.6029367211523,398.9700640008089,415.9276666095335,450.326203371623,2.295571,2.485422,2.591061,3.0895,3.30721
matmul_256_1536_4096,matmul,300.33686705934593,304.8935878442365,330.8148868897365,332.8704319770465,335.3861990502513,11.708571,11.797062,11.870364,12.879553,13.074962
matmul_256_1792_1024,matmul,227.41201805545722,309.8273009346926,319.630301275712,334.639264564827,451.442968658019,2.675485,3.609346,3.778831,3.898394,5.311192
matmul_256_2048_1024,matmul,218.99691522435577,319.71496408060875,320.7251126438541,326.20923686915063,428.885817694773,3.126833,4.111025,4.18132,4.194531,6.123622
matmul_256_2048_2048,matmul,304.3446704193187,306.74845548397644,307.97469350635305,308.2333894956418,331.5084381351068,7.800361,8.389375,8.396422,8.429987,8.496569
matmul_256_256_128,matmul,114.74059509095923,117.26432761968391,131.7200666033466,174.98861264292614,184.2810341716292,0.060957,0.064194,0.085281,0.095794,0.097901
matmul_256_256_512,matmul,210.04233194735727,287.5497328949387,376.6828395698098,381.3758607726499,412.4049537765492,0.209093,0.226105,0.228922,0.299882,0.410541
matmul_256_4096_1024,matmul,309.1272323136952,312.6278961007395,325.9160710176144,329.1976759509124,330.29311012017735,7.850732,7.876856,7.956167,8.294342,8.38827
matmul_256_512_1024,matmul,347.9733590850411,368.9721588594051,418.451086264422,422.56799838332375,437.5587907426219,0.788517,0.81649,0.824523,0.935091,0.99152
matmul_256_768_3072,matmul,212.45379721091,216.03032428636948,216.47202797903836,217.79674533171666,393.97294773299024,3.836684,6.940185,6.982656,6.996933,7.114722
matmul_256_768_768,matmul,37.981691290926065,363.3624343067855,407.0151961205467,411.0446821900566,424.75683914725164,0.881104,0.910497,0.919511,1.029977,9.853562
pooling_nchw_max_256_11_113_113_3_56_56,pooling_nchw_max,25.964238165319433,26.209911305472577,26.289684722852474,26.52026315158046,26.687744476102257,3.188962,3.209101,3.237247,3.2471,3.277824
pooling_nchw_max_256_192_71_71_3_35_35,pooling_nchw_max,28.05466420212594,28.260185171352486,28.27444465111699,28.29151419166123,28.307383339607565,20.448714,20.460184,20.472536,20.482866,20.632918
pooling_nchw_max_256_22_57_57_3_28_28,pooling_nchw_max,13.974150255430017,21.863316757796607,25.11710946706593,25.339085754804675,25.389078978839926,1.697442,1.700791,1.715822,1.971178,3.084015
pooling_nchw_max_256_336_43_43_3_21_21,pooling_nchw_max,27.943031137661816,28.05918354471294,28.077508667413884,28.18310903695437,28.308211702820387,12.757147,12.813775,12.861968,12.870368,12.923867
pooling_nchw_max_256_42_167_167_3_83_83,pooling_nchw_max,27.40195590874264,27.518418627227152,27.522742512521443,27.61766325156187,27.645194812602096,25.597805,25.623323,25.711693,25.715733,25.825029
pooling_nchw_max_256_64_114_114_3_56_56,pooling_nchw_max,16.51811906396267,28.586844476461806,28.64020535017261,28.720691607938765,28.81265741166723,17.491159,17.547167,17.596479,17.629325,30.509937
pooling_nchw_max_256_64_147_147_3_73_73,pooling_nchw_max,27.78626028625833,28.288847588907448,28.29632420715573,28.333590839850608,28.397199400334276,29.264304,29.330002,29.36863,29.376392,29.907741
pooling_nchw_max_256_672_23_23_3_11_11,pooling_nchw_max,22.653238118552196,22.698100370858306,22.754681264823912,22.92032746411196,22.974554612559317,10.573154,10.598169,10.67532,10.701931,10.723125
pooling_nchw_max_256_84_85_85_3_42_42,pooling_nchw_max,27.850084270048384,27.895884949742076,27.92268621537407,28.031397885639812,28.059628447680325,12.874526,12.887492,12.937667,12.950097,12.971394
pooling_nchw_max_256_88_29_29_3_14_14,pooling_nchw_max,25.303768850579775,25.45093371597084,26.277490440149766,26.545087596989934,26.893102543118758,2.007653,2.033974,2.054687,2.121416,2.133754
relu_256_100,relu,0.8323511385601811,0.8971036585365854,0.9988684582743989,1.1092611208846443,1.1946004465796063,0.014779,0.015916,0.017675,0.01968,0.021211
relu_256_1000,relu,1.4860269689271057,1.5266378631888342,2.018753915915342,2.8863381008775923,3.4909558350931964,0.054455,0.065862,0.094167,0.124522,0.127925
relu_256_14_14_672,relu,6.018891421090358,6.233568123851187,6.249314927707666,6.333902019045225,6.434184113731379,6.766611,6.873744,6.966783,6.984382,7.233495
relu_256_14_14_88,relu,4.073453045293866,4.229848244199919,5.800650982882922,8.732665722769552,10.382576167165924,0.68435,0.813648,1.224917,1.679804,1.744298
relu_256_2048,relu,1.7251631816592068,1.8077241413388567,2.421409699891341,3.47428734231311,4.153537570723031,0.105694,0.126358,0.181301,0.242849,0.254471
relu_256_23_23_336,relu,2.1315256928883657,2.1447990428903583,2.156245687803842,2.159661883971814,2.171526933883285,26.840671,26.988132,27.03089,27.175152,27.344376
relu_256_29_29_22,relu,2.890703772746946,3.991672831901202,5.078773209812731,6.113053434566525,7.456034567043692,0.685277,0.835826,1.00604,1.280027,1.767545
relu_256_36_36_192,relu,5.62055165392361,5.752147096221778,5.814008110165494,5.8509052403939235,5.97225103542569,13.51618,13.796501,13.884057,14.033372,14.361939
relu_256_43_43_84,relu,5.644056012815654,5.896806235077235,6.041992787119574,6.236258454425323,6.658895226996587,7.551325,8.063085,8.322334,8.52724,8.909104
relu_256_512,relu,0.8842551030586614,1.031774415405777,1.2052628976837318,1.4835161491533675,2.1770668214596682,0.044791,0.065731,0.080906,0.09451,0.110277
relu_256_57_57_64,relu,5.4583889676003805,5.623464287229983,5.806621992367151,5.821764090092385,5.953381805659243,11.417924,11.676059,11.706507,12.087791,12.453356
relu_256_74_74_64,relu,5.647570425683343,5.760966740406791,5.924534716876005,5.947950410088056,5.974645058052763,19.199689,19.285858,19.362082,19.911819,20.311624
relu_256_85_85_42,relu,5.481648565350238,5.751788464248,5.806392170900369,5.8637668718858835,5.9912001105334625,16.523503,16.882597,17.049419,17.211275,18.05946
